epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.9645,2.23394,0.41667,0.75,2.04908,4e-05,4e-05,0.09604
2,28.7945,1.50332,0.375,0.75,2.16919,8.9109e-05,8.9109e-05,0.0910891
3,40.5224,1.21542,0.41667,0.75,2.33672,0.000137228,0.000137228,0.0861372
4,53.1435,1.03637,0.54167,0.75,2.24323,0.000184357,0.000184357,0.0811844
5,64.048,0.94281,0.54167,0.75,2.00738,0.000230496,0.000230496,0.0762305
6,75.1861,0.79239,0.58333,0.75,1.89065,0.000275645,0.000275645,0.0712756
7,86.5104,0.72845,0.625,0.75,1.80773,0.000319804,0.000319804,0.0663198
8,97.6774,0.6946,0.66667,0.75,1.78682,0.000362973,0.000362973,0.061363
9,108.986,0.58571,0.625,0.75,1.77655,0.000405152,0.000405152,0.0564052
10,119.596,0.44362,0.66667,0.75,1.75953,0.000446341,0.000446341,0.0514463
11,129.679,0.54338,0.66667,0.75,1.73336,0.00048654,0.00048654,0.0464865
12,138.912,0.31878,0.75,0.75,1.70267,0.000525749,0.000525749,0.0415257
13,147.074,0.30748,0.75,0.75,1.68844,0.000563968,0.000563968,0.036564
14,154.923,0.27219,0.75,0.83333,1.67622,0.000601197,0.000601197,0.0316012
15,163.689,0.22695,0.75,0.83333,1.66969,0.000637436,0.000637436,0.0266374
16,175.208,0.21601,0.75,0.83333,1.66034,0.000672685,0.000672685,0.0216727
17,186.112,0.19229,0.75,0.83333,1.68592,0.000706944,0.000706944,0.0167069
18,196.95,0.27037,0.75,0.83333,1.67806,0.000740213,0.000740213,0.0117402
19,207.555,0.09989,0.75,0.83333,1.66774,0.000772492,0.000772492,0.00677249
20,218.35,0.09248,0.75,0.83333,1.66375,0.000803781,0.000803781,0.00180378
21,229.357,0.09221,0.75,0.83333,1.67106,0.000802,0.000802,0.000802
22,240.469,0.07812,0.79167,0.83333,1.70034,0.0007921,0.0007921,0.0007921
23,251.787,0.14815,0.75,0.83333,1.71225,0.0007822,0.0007822,0.0007822
24,262.743,0.07906,0.79167,0.83333,1.74129,0.0007723,0.0007723,0.0007723
25,273.939,0.05784,0.79167,0.83333,1.76454,0.0007624,0.0007624,0.0007624
26,284.596,0.05286,0.79167,0.83333,1.78325,0.0007525,0.0007525,0.0007525
27,295.432,0.0685,0.79167,0.83333,1.80221,0.0007426,0.0007426,0.0007426
28,306.379,0.0771,0.75,0.83333,1.90859,0.0007327,0.0007327,0.0007327
29,317.558,0.04889,0.75,0.83333,1.9721,0.0007228,0.0007228,0.0007228
30,326.015,0.10256,0.75,0.83333,2.0046,0.0007129,0.0007129,0.0007129
31,334.169,0.032,0.75,0.83333,2.07145,0.000703,0.000703,0.000703
32,342.91,0.13036,0.75,0.83333,2.12813,0.0006931,0.0006931,0.0006931
33,351.64,0.01768,0.75,0.83333,2.13428,0.0006832,0.0006832,0.0006832
34,360.187,0.07915,0.75,0.83333,2.11864,0.0006733,0.0006733,0.0006733
35,368.452,0.03083,0.75,0.83333,2.09721,0.0006634,0.0006634,0.0006634
36,377.031,0.09397,0.75,0.83333,2.07316,0.0006535,0.0006535,0.0006535
37,387.282,0.04026,0.75,0.83333,2.13067,0.0006436,0.0006436,0.0006436
38,400.154,0.03224,0.75,0.83333,2.10207,0.0006337,0.0006337,0.0006337
39,410.685,0.01902,0.75,0.83333,2.06838,0.0006238,0.0006238,0.0006238
40,419.279,0.04255,0.75,0.83333,2.04406,0.0006139,0.0006139,0.0006139
41,429.709,0.02282,0.75,0.83333,2.0505,0.000604,0.000604,0.000604
42,440.356,0.02727,0.75,0.83333,2.13183,0.0005941,0.0005941,0.0005941
43,451.687,0.01084,0.75,0.83333,2.12605,0.0005842,0.0005842,0.0005842
44,462.918,0.04793,0.75,0.83333,2.20212,0.0005743,0.0005743,0.0005743
45,474.628,0.02337,0.75,0.83333,2.17873,0.0005644,0.0005644,0.0005644
46,486.431,0.03623,0.75,0.83333,2.24447,0.0005545,0.0005545,0.0005545
47,497.683,0.02373,0.75,0.83333,2.2637,0.0005446,0.0005446,0.0005446
48,508.703,0.01454,0.75,0.83333,2.29078,0.0005347,0.0005347,0.0005347
49,519.589,0.03561,0.75,0.83333,2.31699,0.0005248,0.0005248,0.0005248
50,530.592,0.02123,0.75,0.83333,2.27325,0.0005149,0.0005149,0.0005149
51,541.694,0.07353,0.75,0.83333,2.31945,0.000505,0.000505,0.000505
52,552.095,0.01151,0.75,0.83333,2.25752,0.0004951,0.0004951,0.0004951
53,562.244,0.04369,0.75,0.83333,2.24541,0.0004852,0.0004852,0.0004852
54,572.677,0.1275,0.75,0.83333,2.29353,0.0004753,0.0004753,0.0004753
55,585.714,0.06876,0.75,0.83333,2.18935,0.0004654,0.0004654,0.0004654
